path	operation	sha256_before	sha256_after	mode_before	mode_after	uid	gid	reason
/usr/bin/hiby_player	modify	143c926f3b767fd7cbc63dcae0e0e3988a4b3a7e1a324afc0212eec7f90e0001	ab7623fb8ea21e410068a12b484fcb848eff829eaa190774c58f7d371d2913b4	-rwxrwxr-x	-rwxrwxr-x	0	0	Validated relocated metadata-parse NOP at file offset 0x38240 only; retain all remaining official 1.3 player/PEQ code
/usr/bin/hiby_player.sh	modify	1ed03a80239032c6d363e8bdc9b6485dacac086e2bfe61403866a7c40fd25857	e1a9e4c5a79ca6563dbba7f44fdb66c1218b0d75e4f7c070a021ecba8a2100da	-rwxrwxr-x	-rwxrwxr-x	0	0	Reapply original guarded MMC read-ahead=2048 and VFS cache-pressure=50; retain player/reboot lifecycle
/usr/bin/mount_ubifs.sh	modify	2cf1b9102d54ce9c66979944c59203963c29b6a13c48532ca69143643ce4d425	51f65a59649d4280d739fe7f55dea01d9a33aeeec59fb4959d563dee869942bb	-rwxr-xr-x	-rwxr-xr-x	0	0	Reapply original custom UBIFS sync-to-noatime policy; persistence validation pending hardware test
/usr/lib/libldacdec.so.1	modify	0427893de5def29975bc3bdf578fef32bc6e6300b73801d4813f0f918ceedb49	0f6e179f2e7fd31b5700cd0f0bbfaa4fca25b56201439c0c5b64eee96e14ca2d	-rwxrwxr-x	-rwxrwxr-x	0	0	Exact hardware-confirmed TEST 2 spectral-gate bypass: offset 0x3b82, 40 -> 00; all other 1.3 decoder bytes retained
/usr/resource/config_2025.json	modify	f7f1f4f77c05865f96ee7c387b7cc6c317d55d27997c349251ff83d1a5196e93	2f2849b4b4fbccc673aa0c47d8da4e380289bb42c11040fd9e6ca68731280820	-rw-rw-r--	-rw-rw-r--	0	0	Enable existing custom settings only: dac_to_store, tf_image_cache_enable, tf_music_db_enable; retain all other official 1.3 fields
/usr/resource/layout/theme1/dialog/adb.dlg	modify	d38562479d842063c8736fc3c6009ba0fa718e97cfae73c0588d5034e5e47542	e6b1abb3d07167688fc20ab1debbb6a92ca50203d7891480561dc47e48d97439	-rwxrwxr-x	-rwxrwxr-x	0	0	Port custom layout styling; Restore tv_adb to official parent vg_dialog_adb; translate custom coordinates by (0,50)
/usr/resource/layout/theme1/dialog/book_percent.dlg	modify	69de93f8c76c62490e21b521c7507bee701fcbb4f5d51f547defa4756e8fb312	93ddd34d2da815a9b9d5385b441a9c75ca1145ccadd2c67f6b2420474ba14bfa	-rwxrwxr-x	-rwxrwxr-x	0	0	Port custom layout styling; all official 1.3 name/type/parent and indexed-image contracts retained
/usr/resource/layout/theme1/dialog/book_remove.dlg	modify	2a43993e788085fb7105b1a69e863639d6eb0e08f43d77b46e2e7d1fa9c779b9	03af611142da653b4d277db85d7648e140367f80aebfbc33c222621331880dd7	-rwxrwxr-x	-rwxrwxr-x	0	0	Port custom layout styling; all official 1.3 name/type/parent and indexed-image contracts retained
/usr/resource/layout/theme1/dialog/book_setting.dlg	modify	861d62c2bd2f22588b7f71709dac37a998b708a27f5488ab7327cd1330653234	9000eece6ca66e6ac176a87a5fd50a9099607e55d40d977bb5e9ecae3e1b1532	-rwxrwxr-x	-rwxrwxr-x	0	0	Port custom layout styling; Retain 1.3 dialog geometry/back/title/OK/Cancel; port custom dark colors and fonts. Reject old 350px clipping and donor-only extra controls.
/usr/resource/layout/theme1/dialog/bookmark_menu.dlg	modify	f128c20676e2eacf6c53958840e7e7d35c8a8fe96b1c93f4d1c562489ec75ea2	8bd272dec04b498fd9c384e53f52860d650edc44a8686bddd18af22cb0107389	-rwxrwxr-x	-rwxrwxr-x	0	0	Port custom layout styling; all official 1.3 name/type/parent and indexed-image contracts retained
